id,source,target,n2m
1,"Patrzy na rodzinę, same dziewczynki, matka z dzieckiem przy piersi zsiada właśnie niezgrabnie z fury i furman pogania ją, bo fura zaraz musi wracać po innych na przedmieścia.","She looks at a family of girls, a woman with a child at her breast just climbing down awkwardly from her cart, the driver chasing her off because he has to take the cart back right away to pick up others on the outskirts of town.",1-1
2,"Spada tobołek, który miała na plecach, i wysypuje się stamtąd trochę zszarzałych szmat i pojedynczy sznurek korali, drobnych, pociemniałych.","The bundle she had on her back falls down, and a few faded rags and a single string of beads, small and dimmed, tumble out of it onto the ground.",1-1
3,"Kobieta zbiera je zawstydzona, jakby właśnie oczom świata odsłoniła swoje najniedostępniejsze sekrety.","The woman gathers them back up in embarrassment, as if she had suddenly bared her most inaccessible secrets to the eyes of the world.",1-1
4,"Deymowa mija ją i nagle podbiega do niej chłopczyk, może sześcio-, siedmioletni, i patrząc na nią uśmiechniętymi oczami, bardzo z siebie zadowolony, mówi: ""Niech będzie pochwalony Jezus Chrystus!"".","As Deymowa passes her, a little boy suddenly runs up—he looks like he might be six or seven—and looking at her with smiling eyes, very pleased with himself, he says, ""Praised be our Lord Jesus!""",1-1
5,"Ona zaś odpowiada automatycznie, ale i uroczyście: ""Na wieki wieków, amen"".","She responds automatically, but solemnly, too: ""Forever and ever, amen.",1-1
6,I już chwyta się za serce i łzy nabiegają jej do oczu.,"And her hand flies up to her heart, and her eyes fill with tears.",1-1
7,"Kuca przy chłopcu, chwyta go za nadgarstki, a ten patrzy jej prosto w oczy pełne łez, dalej uśmiechnięty, mały łobuziak.","She squats down beside the boy, grabs him by the wrists, and he looks her straight in the eye, still smiling, that little rascal.",1-1
8,"Wyrastają przed nimi pierwsze zabudowania, nagle, bez ostrzeżenia.","Suddenly, without warning, the first buildings appear in front of them.",1-1
9,"Widać mgła zmienia poczucie odległości, bo zaskoczona tym wydaje się sama Kaśka.","Evidently the fog changes all perception of distance, as even Kaśka seems confused.",1-1
10,"Nagle skacze, szarpiąc dyszlem, i gdyby nie stanowcza reakcja Roszka i jego bat, wywróciłaby kolaskę.","She lurches, yanking the drawbar, and were it not for Roshko's firm hand and whip, she would have overturned the britchka.",1-1
11,"Może Kaśkę wystraszyły iskry, które sypią się z paleniska, albo niepokój koni czekających na swoją kolej do podkuwania...","In front of them is a blacksmith's; maybe Kaśka got spooked by the sparks spewing from that furnace, or else by the anxiety of the horses waiting their turn to be shod.",1-1
12,"Wszędzie czuć mdły zapach słodu, przenika każdy towar wystawiony do sprzedaży. Można się nim najeść jak chlebem.",In every place there is the cloying smell of malt that gets into all that is up for sale and gluts a person just as bread can.,2-1
13,"Na przedmieściach Rohatyna, w Babińcach, jest kilka małych browarów, to stamtąd roznosi się na całą okolicę ten sycący zapach.","On the outskirts of Rohatyn, in Babińce, are several small breweries that give the whole region this satiating scent.",1-1
14,"Wiele kramików sprzedaje tu piwo, a lepsze sklepy mają na składzie i gorzałkę, i miód pitny, głównie trójniak.","Many stalls here sell beer, and the better shops also keep vodka, and mead—mostly trójniak.",1-1
15,"Skład żydowskiego kupca Wakszula oferuje wino, prawdziwego węgrzyna i prawdziwe reńskie, i takie trochę kwaskowate, które przywożą tu aż z Wołoszczyzny.","The Jewish merchant Wachshul, meanwhile, sells wine, real Hungarian and Rhineland wine, as well as some sourer stuff they bring in from Wallachia.",1-1
16,"Najwięcej do powiedzenia byłoby o rodzinie Wołowskich, jako że rozrosła się do ogromnych rozmiarów.","Of the Wołowski family there is the most to say, for it grew until it attained gargantuan proportions.",1-1
17,"Niemal wszystkie gałęzie tego rodu zostały nobilitowane, jedne były herbu Bawół, drugie herbu Na Kaskach.","Nearly all its branches became ennobled, some under the Bawół coat of arms, others under Na Kaskach.",1-1
18,"Niewątpliwie wielką karierę zrobił Franciszek, syn Izaaka Wołowskiego, tego samego, którego ksiądz Chmielowski nazwał Jeremiaszem.","A fabulous career was made by Franciszek, son of Isaac Wołowski, the boy whom Father Chmielowski had once called Jeremiah.",1-1
19,"Urodził się w 1786 roku w Brünn i wychowany w Offenbachu, stał się jednym z najlepszych prawników i znawcą prawa tamtego czasu.","Franciszek, born in 1786 in Brünn and raised in Offenbach, became one of the best lawyers and scholars of law of his era.",1-1
20,"Co ciekawe gdy w sejmie pojawił się wniosek o nadanie polskiego obywatelstwa Żydom, Franciszek jako poseł w swojej porywającej przemowie przekonywał, że jeszcze nie czas na taki krok.","Interestingly, when a proposal came before the Sejm to grant Polish citizenship to Jews, Franciszek, as a member of parliament, vehemently argued that it was not yet time to take such a step.",1-1
21,"Najpierw naród polski musi wywalczyć sobie niepodległość, a potem będzie pora na reformy społeczne.",First the Polish nation had to win its independence; only then they would be able to turn to such social reforms.,1-1
22,"Wszyscy offenbachscy neofici zostali pochowani na miejskim cmentarzu, który po latach zaczął jednak przeszkadzać planom rozbudowy miasta i został w 1866 roku zlikwidowany.","All the Offenbach neophytes were buried in the city cemetery, though some years later this cemetery began to interfere with plans to expand the town, and it was ultimately liquidated in 1866.",1-1
23,Kości pogrzebanych tam ludzi zebrano i z szacunkiem pochowano w innym miejscu.,The bones of those buried there were carefully collected and respectfully reburied elsewhere.,1-1
24,"Przy tej okazji została wyjęta z grobu czaszka Jakuba Franka i, opisana starannie jako ""czaszka żydowskiego patryarchy"", znalazła się w rękach historiografa miasta Offenbach.","Jacob Frank's skull was removed from his grave, and, thoughtfully recorded as ""a skull belonging to a Jewish patriarch,"" it passed into the hands of the historian of the city of Offenbach.",1-1
25,"Wiele lat potem, w nieznanych okolicznościach, trafiła do Berlina, gdzie poddana została szczegółowym pomiarom i badaniom i uznana za przykład żydowskiej niższości rasowej.","Many years later, under unknown circumstances, it made its way to Berlin, where it underwent detailed measurement and research and was labeled a prime example of Jewish racial inferiority.",1-1
26,"Po wojnie przepadła bez wieści może zniszczona wojenną zawieruchą, rozsypała się w pył, albo leży jeszcze w podziemnych magazynach jakiegoś muzeum.","After the Second World War, it vanished without a trace—either it was destroyed in the turmoil and chaos of war, crumbling to dust, or else it is still lying around somewhere in the underground storage facility of some museum.",1-1
27,Po śmierci Jakuba nastał dla mnie czas wielkiego spokoju.,"After Jacob's death, I entered into a period of peace.",1-1
28,"Głównym moim zajęciem stało się studiowanie merkawy, do tego doszły jeszcze nasze rozmowy z Jeruchimem Dembowskim, jako że zamieszkaliśmy w jednym pokoju, przez co zbliżyliśmy się do siebie.","My main occupation became studying Merkavah, which my conversations with Yeruhim Dembowski also managed to cover, as we lived in the one room, which meant we got closer to each other.",1-1
29,"Jemu, Jeruchimowi, powiedziałem też o Chai Szor że była jedyną kobietą, którą mogłem pokochać i kochałem od tego pięknego momentu, kiedym ją dostał na jedną noc, wtedy gdym przyjechał z wieściami o Jakubie do Rohatyna.","To him, to Yeruhim, I also confessed about Hayah Shorr—that she was the one woman I was ever able to love, and that I had loved her from that beautiful moment when I was given her for one night, back when I had come with news of Jacob to Rohatyn.",1-1
30,Lecz przede wszystkim kochałem Jakuba.,"But above all, of course, it was Jacob I had loved.",1-1
31,Byli w Iwaniu od kwietnia.,They had been in Ivanie since April.,1-1
32,"Gdyby nie dobrzy iwańscy ludzie, chyba pomarliby z głodu.","Were it not for those good Ivanie people, they probably would have starved to death.",1-1
33,"Iwanie uratowało im życie i zdrowie, Bejla czuje się teraz lepiej i już nie kaszle tak bardzo.","Ivanie saved their lives and health, Beyla feels better now, and isn't coughing quite as much.",1-1
34,"Srol wierzy, że kiedy już się ochrzczą, będzie im tak samo dobrze jak chrześcijanom.","Srol believes that once they have been baptized, they will be as well off as the Christians.",1-1
35,"Dostaną kawałek ziemi, Bejla będzie miała w ogrodzie warzywa, a on, Srol, będzie tkał kilimy, bo to umie robić dobrze.","They will receive a piece of land, Beyla will have vegetables in her garden, and he, Srol, will weave carpets, because he knows how to do that and is good at it.",1-1
36,"Na starość, gdy powydaje dziewczynki za mąż, one wezmą ich do siebie.","In their old age, once they have married off their daughters, the girls will take them in.",1-1
37,To wszystkie jego marzenia.,That is his whole dream.,1-1
38,"Patrzcież, dobrodzieju, Kaśka nie chce iść mówi ponuro Roszko, gdy kolaska się zatrzymuje.","""Kaśka won't go, good sir,"" Roshko grumbles when the carriage comes to a stop.",1-1
39,Roszko schodzi z kozła i żegna się kilka razy zamaszyście.,"He gets out of his seat and vigorously crosses himself—once, twice, and then again.",1-1
40,"Potem nachyla się i zagląda w mgłę, jakby patrzył do wody.",He leans forward and peers into the fog as he would into water.,1-1
41,"Spod jego odświętnego czerwonego, acz trochę już wypłowiałego kubraka wychodzi koszula.",His shirt pokes out from underneath his faded red Sunday doublet.,1-1
42,"Nie wiem, gdzie jechać mówi.","""I don't know where to go,"" he says.",1-1
43,Jak to nie wiesz?,"""What do you mean, you don't know?",1-1
44,Przecież już jesteśmy na rohatyńskim gościńcu mówi zdziwiony ksiądz.,"We're on the Rohatyn road now,"" the priest says in astonishment.",1-1
45,A jednak!,And yet!,1-1
46,"Wysiada z kolaski i podąża za sługą, obchodzą bezradnie powóz, wytężając oczy w biel.","He gets out of the britchka to join his servant. Helplessly they circle the carriage, straining their eyes into the pale gray.",1-2
47,"Wydaje im się, że coś widzą, ale oczy, które nie mogą zaczepić się na niczym, zaczynają stroić sobie żarty. Że też im się coś podobnego przydarzyło!","For a moment they think they see something, but it's only that their eyes, unable to latch on to anything, have begun to play tricks on them. But how can they not know where to go?",2-2
48,"Przecież to tak, jakby zgubić się we własnej kieszeni.",It's like getting lost in one's own pocket.,1-1
49,"Cicho! mówi nagle ksiądz i podnosi palec do góry, nadsłuchując.","""Quiet!"" the priest says suddenly, and raises his finger, straining to hear.",1-1
50,"I rzeczywiście, gdzieś z lewej strony, z kłębów mgły, dochodzi słaby szum wody.","And indeed, from somewhere off to the left, through the billows of fog, the faint murmur of water reaches their ears.",1-1
51,Jedźmy za tym szumem. To woda płynie decyduje ksiądz.,"""Let's follow that sound,"" the priest says with determination. ""That's water flowing.",2-2
52,"Wkrótce ksiądz rozluźnia się w kolasce, wyciąga przed siebie nogi i pozwala oczom wędrować po morzu mgły.","Soon Father Chmielowski relaxes back inside his carriage, stretching his legs out before him, allowing his eyes to drift within this mass of fog.",1-3
53,"Natychmiast popada w podróżne zamyślenie, bo człowiekowi najlepiej myśli się w ruchu.",Right away he slips into his musings—for man thinks best in motion.,1-1
54,"Wolno, z ociąganiem ożywa mechanizm jego umysłu, zaskakują tryby i przekładki, wprawiając w ruch koła napędowe, zupełnie jak w zegarze, który stoi u niego na plebanii w sieni, zakupiony we Lwowie; słono za niego zapłacił.","Slowly, reluctantly, the mechanism of his mind awakens, wheels and pinions starting up, the whole getting going just like the clock that stands in the vestibule of the presbytery, which he purchased in Lwów for an exorbitant sum.",1-1
55,Za chwilę odezwie się bim-bom.,It'll be just about to chime.,1-1
56,"Czy aby świat nie wziął się z takiej mgły, zaczyna się zastanawiać.",Did not the world emerge from such a fog? he starts to wonder.,1-1
57,"Przecież historyk żydowski Józef Flawiusz utrzymuje, że świat został stworzony jesienią, podczas aequinoctium jesiennego.","After all, the Jewish historian Josephus maintains the world was created in the autumn, at the autumn equinox.",1-1
58,"Można tak sądzić, bo przecież w raju były owoce; skoro jabłko wisiało na drzewie, musiała to być jesień...","A reasonable notion, since of course there were fruits in paradise; given the apple hanging from the tree, it must indeed have been autumn.",1-1
59,Jest w tym jakaś racja.,There is a logic to it.,1-1
60,Ale zaraz przychodzi mu do głowy myśl inna: Cóż to za argument?,But right away another thought occurs to him: What kind of reasoning is this?,1-2
61,"Czyż wszechmocny Bóg takich marnych fruktów nie mógłby stworzyć ekstra, w jakiejkolwiek porze roku?",Could not Almighty God create such paltry fruits at any time of year?,1-2
62,"Gdy dojeżdżają do głównej drogi prowadzącej do Rohatyna, włączają się w strumień pieszych, konnych i wozów wszelakiego rodzaju, które wyłaniają się z mgły, niby figurki z chleba lepione na Boże Narodzenie.","When they come to the main road leading to Rohatyn, they join the stream of persons on foot and horseback and in every variety of vehicle who appear out of the fog like Christmas figurines sculpted from bread.",1-1
63,"Jest środa, targ w Rohatynie, jadą chłopskie wozy obładowane workami z ziarnem, klatkami z drobiem, wszelakimi płodami rolnymi.","It is Wednesday, market day in Rohatyn, and the peasants' carts are loaded with grain sacks, cages with poultry fowl—all sorts of agricultural bounty.",1-1
64,"Między nimi żwawym krokiem maszerują handlarze z każdym możliwym towarem ich kramiki, sprytnie teraz złożone, dają się nieść na plecach niczym koromysła, a za chwilę staną się stołami pełnymi barwnych materiałów, drewnianych zabawek, jajek skupowanych po wsiach za jedną czwartą ceny...","As the carts roll slowly by, merchants skip between them, carrying every imaginable commodity—their stalls, cleverly collapsed, can be thrown over their shoulders like carrying poles; then, in a flash, unfolded, they are tables strewn with bright materials or wooden toys, eggs bought up from the villages for a quarter of what they cost here, now.",1-1
65,"Chłopi prowadzą też kozy i krowy na sprzedaż zwierzęta, przerażone zgiełkiem, zapierają się w kałużach.","Peasants lead goats and cows to be sold; the animals, frightened by the tumult, stop among the puddles and refuse to budge.",1-1
66,"Mija ich rozpędzona fura przykryta dziurawą plandeką, pełna hałaśliwych Żydów, którzy ściągają na jarmark do Rohatyna z całej okolicy, a za nimi przedziera się bogata kareta, której we mgle i tłoku na drodze trudno zachować dostojeństwo jasne lakierowane drzwiczki są czarne od błota, a mina stangreta w niebieskiej pelerynie wydaje się nietęga, nie spodziewał się widać takiego zamieszania i teraz rozpaczliwie szuka wzrokiem okazji, żeby zjechać z tej diabelskiej drogi.","Now a wagon flies by them, its cover a tarpaulin riddled with holes; it carries a load of the exuberant Jews who converge upon the Rohatyn market from all over. Next a very ornate carriage wedges its way through, though in the fog and the crowd it has trouble preserving its dignity—its vibrant little lacquered doors are caked with mud, and the cerulean-cloaked coachman's countenance is wan, as he must not have been expecting such a commotion and is now desperately seeking any opportunity to get off this terrible road.",1-2
